
Kenrith_cEDH,"Kenrith, the Returned King;Mana Crypt;Chrome Mox;Mox Diamond;Mox Amber;Sol Ring;Arcane Signet;Jeweled Lotus;Lotus Petal;Grim Monolith;Basalt Monolith;Mana Vault;Sensei's Divining Top;Isochron Scepter;Lion's Eye Diamond;Wishclaw Talisman;Demonic Tutor;Vampiric Tutor;Enlightened Tutor;Mystical Tutor;Worldly Tutor;Imperial Seal;Tainted Pact;Demonic Consultation;Swords to Plowshares;Path to Exile;Abrupt Decay;Assassin's Trophy;Swan Song;Silence;Veil of Summer;Deflecting Swat;Fierce Guardianship;Pact of Negation;Flusterstorm;Mana Drain;Cyclonic Rift;Brainstorm;Ponder;Preordain;Gitaxian Probe;Thassa's Oracle;Dockside Extortionist;Drannith Magistrate;Esper Sentinel;Ranger-Captain of Eos;Opposition Agent;Gilded Drake;Spellseeker;Narset, Parter of Veils;Notion Thief;Rhystic Study;Mystic Remora;Necropotence;Smothering Tithe;Ad Nauseam;Jeska's Will;Timetwister;Windfall;Wheel of Fortune;Finale of Devastation;Sylvan Library;Carpet of Flowers;Wild Growth;Utopia Sprawl;Birds of Paradise;Noble Hierarch;Deathrite Shaman;Elvish Mystic;Llanowar Elves;Bloom Tender;Oracle of Mul Daya;Grafdigger's Cage;Force of Will;Force of Negation;Command Tower;Exotic Orchard;City of Brass;Mana Confluence;Reflecting Pool;Ancient Tomb;Forbidden Orchard;Gemstone Caverns;Flooded Strand;Polluted Delta;Verdant Catacombs;Windswept Heath;Wooded Foothills;Scalding Tarn;Misty Rainforest;Bloodstained Mire;Marsh Flats;Prismatic Vista;Savannah;Tropical Island;Underground Sea;Volcanic Island;Bayou;Overgrown Tomb",9.5
Urza_HighPower,"Urza, Lord High Artificer;Mana Crypt;Sol Ring;Mana Vault;Grim Monolith;Basalt Monolith;Mox Amber;Chrome Mox;Mox Opal;Arcane Signet;Fellwar Stone;Jeweled Lotus;Lotus Petal;Sensei's Divining Top;Isochron Scepter;Winter Orb;Static Orb;Trinisphere;Grafdigger's Cage;Pithing Needle;Walking Ballista;Aether Spellbomb;Mox Diamond;Mishra's Bauble;Lotus Bloom;Skullclamp;Cyclonic Rift;Rapid Hybridization;Pongify;Resculpt;Repeal;Counterspell;Mana Drain;Force of Will;Force of Negation;Pact of Negation;Swan Song;Flusterstorm;Spell Pierce;Mystical Tutor;Fabricate;Transmute Artifact;Reshape;Whir of Invention;Rhystic Study;Mystic Remora;Future Sight;Power Artifact;Dramatic Reversal;Aetherium Sculptor;Trinket Mage;Trophy Mage;Snapcaster Mage;Hullbreaker Horror;Consecrated Sphinx;Thassa's Oracle;Academy Ruins;Inventors' Fair;Mystic Sanctuary;Command Beacon;Urza's Saga;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Snow-Covered Island;Spellseeker;Merchant Scroll;Muddle the Mixture;Preordain;Brainstorm;Ponder;Gitaxian Probe;Sleight of Hand;Impulse",8.5
Muldrotha_MidHigh,"Muldrotha, the Gravetide;Sol Ring;Arcane Signet;Golgari Signet;Dimir Signet;Simic Signet;Talisman of Curiosity;Talisman of Dominance;Talisman of Resilience;Mana Crypt;Lotus Petal;Jeweled Lotus;Mana Vault;Thought Vessel;Deadeye Navigator;Peregrine Drake;Palinchron;Phantasmal Image;Sakura-Tribe Elder;Eternal Witness;Ramunap Excavator;Courser of Kruphix;Oracle of Mul Daya;Titania, Protector of Argoth;Dryad of the Ilysian Grove;Sidisi, Undead Vizier;Consecrated Sphinx;Seedborn Muse;Hullbreaker Horror;Avenger of Zendikar;Protean Hulk;Walking Ballista;Triskelion;Coiling Oracle;Risen Reef;Tireless Tracker;Demonic Tutor;Vampiric Tutor;Finale of Devastation;Green Sun's Zenith;Diabolic Intent;Grim Tutor;Buried Alive;Life from the Loam;Reanimate;Animate Dead;Dance of the Dead;Necromancy;Living Death;Exhume;Victimize;Cyclonic Rift;Abrupt Decay;Assassin's Trophy;Krosan Grip;Swan Song;Force of Negation;Brainstorm;Ponder;Preordain;Impulse;Fact or Fiction;Beast Within;Rhystic Study;Mystic Remora;Necropotence;Pernicious Deed;Propaganda;Command Tower;Exotic Orchard;City of Brass;Mana Confluence;Reflecting Pool;Breeding Pool;Watery Grave;Overgrown Tomb;Hinterland Harbor;Drowned Catacomb;Woodland Cemetery;Verdant Catacombs;Misty Rainforest;Polluted Delta;Marsh Flats;Windswept Heath;Fabled Passage;Boseiju, Who Endures;Otawara, Soaring City;Takenuma, Abandoned Mire;Alchemist's Refuge;Field of the Dead;Strip Mine;Forest;Forest;Forest;Forest;Island;Island;Island;Swamp;Swamp",7.0
Edgar_Vampires,"Edgar Markov;Stromkirk Captain;Captivating Vampire;Drana, Liberator of Malakir;Falkenrath Aristocrat;Bloodline Keeper;Champion of Dusk;Malakir Bloodwitch;Necropolis Regent;Olivia Voldaren;Gatekeeper of Malakir;Legion Lieutenant;Dusk Legion Zealot;Gifted Aetherborn;Cordial Vampire;Viscera Seer;Bloodghast;Asylum Visitor;Indulgent Aristocrat;Falkenrath Noble;Vampire Nighthawk;Sanctum Seeker;Blood Artist;Guul Draz Assassin;Knight of the Ebon Legion;Stromkirk Occultist;Nirkana Revenant;Sol Ring;Arcane Signet;Rakdos Signet;Boros Signet;Orzhov Signet;Talisman of Hierarchy;Talisman of Conviction;Talisman of Indulgence;Fellwar Stone;Sword of the Animist;Lightning Greaves;Swiftfoot Boots;Swords to Plowshares;Path to Exile;Terminate;Wear // Tear;Anguished Unmaking;Utter End;Vindicate;Generous Gift;Teferi's Protection;Vampiric Tutor;Demonic Tutor;Diabolic Intent;Enlightened Tutor;Read the Bones;Night's Whisper;Shared Animosity;Anointed Procession;Phyrexian Arena;Blasphemous Act;Kindred Dominance;Merciless Eviction;Damnation;Command Tower;Exotic Orchard;Nomad Outpost;Path of Ancestry;Rakdos Carnarium;Orzhov Basilica;Boros Garrison;Clifftop Retreat;Dragonskull Summit;Isolated Chapel;Concealed Courtyard;Spectator Seating;Luxury Suite;Silent Clearing;Vault of Champions;Caves of Koilos;Battlefield Forge;Sulfurous Springs;Ancient Tomb;City of Brass;Mana Confluence;Reflecting Pool;Fabled Passage;Terramorphic Expanse;Evolving Wilds;Blood Crypt;Godless Shrine;Sacred Foundry;Temple of Malice;Temple of Silence;Temple of Triumph;Plains;Plains;Plains;Plains;Swamp;Swamp;Swamp;Mountain;Mountain;Mountain",6.0
Ghalta_Stompy,"Ghalta, Primal Hunger;Llanowar Elves;Elvish Mystic;Fyndhorn Elves;Arbor Elf;Elvish Archdruid;Llanowar Tribe;Rishkar, Peema Renegade;Tireless Provisioner;Tireless Tracker;Sakura-Tribe Elder;Kodama's Reach;Cultivate;Nature's Lore;Three Visits;Skyshroud Claim;Harrow;Ranger's Path;Explosive Vegetation;Sol Ring;Arcane Signet;Steel Leaf Champion;Old-Growth Troll;Questing Beast;Elder Gargaroth;Carnage Tyrant;Vorinclex, Monstrous Raider;Kogla, the Titan Ape;Ulvenwald Oddity;End-Raze Forerunners;Craterhoof Behemoth;Nyxbloom Ancient;Greenwarden of Murasa;Terastodon;Woodfall Primus;World Breaker;Ulamog, the Ceaseless Hunger;Bane of Bala Ged;Pathbreaker Ibex;Protean Hulk;Verdurous Gearhulk;Beast Within;Krosan Grip;Heroic Intervention;Momentous Fall;Return of the Wildspeaker;Rishkar's Expertise;Harmonize;Garruk's Uprising;Guardian Project;Zendikar Resurgent;Greater Good;Tooth and Nail;Finale of Devastation;Green Sun's Zenith;Chord of Calling;Lead the Stampede;Garruk Wildspeaker;Nissa, Who Shakes the World;Nissa, Vastwood Seer;Vivien, Monsters' Advocate;Command Tower;Path of Ancestry;Nykthos, Shrine to Nyx;Gaea's Cradle;Ancient Tomb;Mosswort Bridge;Oran-Rief, the Vastwood;Boseiju, Who Endures;Yavimaya, Cradle of Growth;Field of the Dead;Blighted Woodland;Myriad Landscape;Scavenger Grounds;Rogue's Passage;Karn's Bastion;Forest;Forest;Forest;Forest;Forest;Forest;Forest;Forest;Forest;Forest;Forest;Forest;Forest;Forest;Forest;Forest;Forest;Forest;Forest;Forest",4.0
